Player_id;Nombre de carton jaune;Nombre de carton rouge;Nombre de buts / 90 min;Nombre de passe décisives / 90 min;Expected goals / 90 min;Expected assisted / 90 min;Nombre de tirs (n'inclus pas les pénaltys) / 90 min;Nombre de tirs cadrés (n'inclus pas les pénaltys) / 90 min;Nombre de tirs sur coup franc;Nombre de passe réussie total;Nombre de passe tentés;Distance total des passes réussie (yards);Distance total des passes vers l'avant (yards);Nombre de passe réussie (entre 5 et 15 yards);Nombre de passe tentés (entre 5 et 15 yards);Nombre de passe réussie (entre 15 et 30 yards);Nombre de passe tentés (entre 15 et 30 yards);Nombre de passe réussie (plus de 30 yards);Nombre de passe tentés (plus de 30 yards);Passes avant un tir;Passes dans le dernier tier du terrain et qui finis par un tir;Passes réussie dans la surface;Passes réussie dans la surface qui finis sur une frappe ?????;Nombre de passes progressives;Action menant à un tir / 90 min;Passe dans le jeu amenant à un tir;Passe sur coups de pieds arreté amenant à un tir;Dribble réussie amenant à un tir;Faute qui conduit à un tir;Actions défensive amenant à un tir;Action menant à un but / 90 min;Passe dans le jeu amenant à un but;Passe sur coups de pieds arreté amenant à un but;Dribble réussie amenant à un but;Faute qui conduit à un but;Actions défensive amenant à un but;Nombre de joueurs taclés;Nombre de joueurs avec tacles réussie;Nombre de tacle dans le 1/3 du terrain;Nombre de tacle dans le 2/3 du terrain;Nombre de tacle dans le 3/3 du terrain;Nombre de dribbleur taclés;Nombre de fois ou le dribleur est passé;Nombre de pression réussie;Nombre de pression dans le 1/3 du terrain;Nombre de pression dans le 2/3 du terrain;Nombre de pression dans le 3/3 du terrain;Nombre de fois ou le joueurs a reçu un ballon;Nombre de ballon touchés dans sa surface;Nombre de ballon touchés dans la surface adv;Nombre de contrôle dans les pieds ;Nombre de ballon contrôle dans la surface adv;Fautes commises;Group
Aaron Hunt2018;0.043290043;0;0.13;0.09;0.12;0.23;1.17;0.26;0.432900433;38.22510823;53.2034632;731.1255411;230.0865801;17.57575758;20.77922078;12.64069264;16.27705628;7.142857143;13.11688312;2.813852814;3.593073593;1.341991342;0.216450216;4.199134199;4.25;2.337662338;1.861471861;0.043290043;0.086580087;0.043290043;0.25;0.216450216;0.043290043;0;0;0;1.298701299;0.952380952;0.519480519;0.692640693;0.086580087;0.216450216;1.385281385;5.844155844;4.415584416;11.2987013;5.238095238;63.85281385;1.212121212;2.943722944;38.61471861;0.303030303;1.168831169;3
Abdou Diallo2018;0.186567164;0;0.07;0.04;0.09;0.03;0.48;0.11;0;33.76865672;44.81343284;734.1791045;333.9179104;10.37313433;12.46268657;16.67910448;19.51492537;6.268656716;11.49253731;0.223880597;2.985074627;0.746268657;0.26119403;4.067164179;0.97;0.78358209;0;0.111940299;0;0.037313433;0.15;0.149253731;0;0;0;0;2.350746269;1.567164179;1.417910448;0.820895522;0.111940299;0.708955224;0.447761194;5.373134328;8.171641791;4.067164179;0.78358209;55.82089552;4.402985075;0.895522388;32.31343284;0.037313433;2.201492537;0
Ademola Lookman2018;0.15625;0;0.78;0.47;0.36;0.54;2.04;0.94;0.15625;27.5;36.875;412.65625;127.96875;16.40625;19.84375;9.21875;11.875;1.5625;3.4375;2.65625;2.03125;1.09375;0;3.75;5.02;3.125;0.3125;0.9375;0.46875;0;0.94;0.46875;0;0.3125;0;0;0.625;0.46875;0.46875;0.15625;0;0.15625;0.46875;4.6875;2.65625;7.5;3.75;48.75;0.9375;4.6875;42.1875;1.09375;1.875;1
Admir Mehmedi2018;0.384615385;0;0.26;0.39;0.14;0.17;1.67;0.51;0.128205128;41.15384615;53.71794872;665;269.7435897;22.05128205;26.15384615;15.12820513;19.61538462;2.820512821;5.641025641;2.692307692;2.692307692;2.051282051;0.897435897;4.358974359;3.99;2.948717949;0.384615385;0.128205128;0.512820513;0;0.51;0.384615385;0;0;0.128205128;0;1.794871795;1.153846154;0.769230769;0.641025641;0.384615385;0.512820513;1.153846154;3.717948718;4.102564103;8.846153846;3.076923077;66.53846154;1.282051282;3.461538462;43.58974359;0.641025641;2.179487179;3
Albin Ekdal2018;0.243902439;0;0;0.08;0.04;0.08;0.65;0.08;0;34.95934959;45.52845528;647.6422764;192.3577236;14.14634146;17.31707317;16.09756098;20.89430894;4.308943089;5.853658537;0.487804878;4.390243902;0.487804878;0;4.390243902;1.71;1.382113821;0;0;0.162601626;0.162601626;0.16;0.081300813;0;0;0;0.081300813;2.520325203;2.032520325;1.300813008;1.138211382;0.081300813;0.731707317;1.300813008;6.991869919;7.235772358;9.430894309;1.62601626;56.2601626;2.764227642;1.300813008;34.30894309;0.081300813;1.138211382;0
Alessandro Schöpf2018;0.333333333;0;0;0;0.04;0.07;0.89;0.33;0;34.88888889;45.77777778;551.1111111;195.5555556;19.55555556;22.55555556;12;15.88888889;2.777777778;5.666666667;0.555555556;2.111111111;0.666666667;0;2.444444444;1.78;1.333333333;0.111111111;0.111111111;0.222222222;0;0.11;0;0;0;0.111111111;0;3.111111111;2.111111111;1.555555556;1.222222222;0.333333333;0.888888889;1.666666667;8.888888889;9.333333333;14.11111111;4.888888889;60.22222222;2.777777778;2;37.55555556;0.444444444;2.888888889;0
Alexander Esswein2018;0;0;0.29;0.15;0.12;0.03;1.46;0.88;0;23.62318841;33.04347826;381.0144928;122.0289855;14.20289855;17.97101449;6.231884058;8.115942029;2.608695652;4.202898551;0.579710145;2.31884058;0.869565217;0.724637681;2.463768116;1.6;1.304347826;0;0;0.289855072;0;0.44;0.289855072;0;0;0.144927536;0;2.753623188;1.449275362;1.884057971;0.724637681;0.144927536;0.869565217;2.028985507;7.246376812;9.275362319;15.07246377;7.68115942;44.49275362;1.449275362;2.173913043;28.69565217;0.579710145;2.173913043;1
Alexander Hack2018;0.13986014;0;0.07;0;0.04;0.01;0.91;0.28;0;33.70629371;42.7972028;782.5874126;336.1538462;9.79020979;11.46853147;15.59440559;17.97202797;8.181818182;12.58741259;0.34965035;3.776223776;0.27972028;0;4.335664336;0.42;0.41958042;0;0;0;0;0;0;0;0;0;0;3.286713287;2.307692308;1.888111888;1.258741259;0.13986014;0.839160839;1.608391608;4.755244755;6.923076923;4.825174825;0.48951049;60.41958042;9.440559441;1.328671329;31.04895105;0;0.699300699;0
Alexander Schwolow2018;0;0;0;0;0;0;0.03;0;0;25.47987616;40.55727554;967.8328173;684.7058824;2.476780186;2.507739938;10.30959752;10.34055728;12.6006192;27.58513932;0.061919505;0.92879257;0.061919505;0;0.030959752;0.22;0.123839009;0.092879257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.030959752;0.030959752;0.030959752;0;0.092879257;43.40557276;35.17027864;0.030959752;24.42724458;0;0;2
Alexandru Maxim2018;0.377358491;0;0.19;0.19;0.14;0.12;2.63;0.47;0.094339623;32.16981132;44.24528302;643.9622642;200.6603774;15;17.26415094;10.94339623;13.49056604;5.849056604;12.0754717;1.981132075;3.679245283;0.660377358;0;3.962264151;3.94;1.79245283;1.41509434;0.188679245;0.283018868;0.094339623;0.47;0.188679245;0.283018868;0;0;0;1.41509434;0.943396226;0.471698113;0.849056604;0.094339623;0.566037736;1.603773585;5.566037736;4.622641509;8.962264151;4.716981132;59.52830189;0.943396226;2.641509434;41.03773585;0.377358491;1.79245283;3
Alfreð Finnbogason2018;0.099009901;0;0.6;0.15;0.53;0.14;2.43;1.09;0;15.34653465;21.38613861;247.8217822;42.77227723;8.168316832;10.74257426;5.495049505;7.277227723;1.386138614;2.178217822;1.336633663;1.03960396;0.742574257;0;1.683168317;2.88;2.02970297;0.04950495;0.297029703;0.148514851;0;0.4;0.297029703;0;0;0.04950495;0;0.693069307;0.445544554;0.198019802;0.297029703;0.198019802;0.148514851;0.445544554;5.04950495;1.336633663;7.920792079;9.603960396;35;0.544554455;6.435643564;23.31683168;0.594059406;1.435643564;1
Amine Harit2018;0.13215859;0;0.13;0.13;0.13;0.2;1.1;0.4;0;27.48898678;33.87665198;452.1145374;99.91189427;14.40528634;16.78414097;10.88105727;13.1277533;2.026431718;3.083700441;1.762114537;1.629955947;1.850220264;0.440528634;3.171806167;3.92;2.643171806;0;0.396475771;0.748898678;0.044052863;0.62;0.176211454;0;0.088105727;0.308370044;0;1.233480176;0.837004405;0.308370044;0.616740088;0.308370044;0.396475771;1.189427313;6.696035242;3.656387665;12.68722467;6.916299559;49.20704846;0.440528634;2.995594714;43.30396476;1.101321586;0.837004405;1
Amir Abrashi2018;0.212765957;0;0;0;0.02;0.06;0.53;0;0;27.65957447;35.63829787;476.8085106;125.8510638;13.19148936;16.70212766;11.06382979;13.19148936;2.765957447;4.468085106;0.425531915;2.127659574;0.425531915;0.106382979;3.191489362;1.27;1.063829787;0;0;0.212765957;0;0.11;0.106382979;0;0;0;0;3.936170213;2.765957447;1.489361702;2.340425532;0.106382979;1.170212766;1.063829787;6.063829787;7.553191489;12.55319149;2.765957447;50.10638298;2.978723404;0.957446809;29.46808511;0.106382979;2.127659574;0
Anastasios Donis2018;0.095238095;0;0.19;0.19;0.43;0.19;3.6;1.23;0.285714286;13.9047619;21.33333333;248.8571429;47.61904762;6.285714286;8.285714286;5.714285714;8.571428571;1.523809524;3.238095238;1.238095238;0.857142857;0.857142857;0.380952381;0.952380952;3.03;1.523809524;0;0.666666667;0.476190476;0.19047619;0.66;0.19047619;0;0.285714286;0.095238095;0.095238095;2;1.619047619;0.857142857;0.761904762;0.380952381;0.095238095;0.19047619;4.666666667;3.904761905;10.0952381;5.714285714;36.85714286;0.666666667;4.285714286;29.80952381;2;1.714285714;1
Andreas Beck2018;0.23364486;0;0.05;0.05;0.01;0.07;0.33;0.14;0;38.31775701;54.25233645;772.3364486;308.9719626;14.06542056;17.47663551;17.89719626;23.45794393;6.214953271;11.12149533;0.560747664;2.897196262;0.700934579;0.373831776;4.252336449;1.4;1.121495327;0.093457944;0.046728972;0.140186916;0;0.14;0.093457944;0.046728972;0;0;0;2.009345794;1.168224299;0.981308411;0.981308411;0.046728972;0.420560748;0.607476636;5.934579439;7.570093458;8.317757009;3.271028037;64.06542056;2.009345794;0.934579439;36.44859813;0.23364486;1.588785047;0
Andrej Kramarić2018;0.040322581;0;0.53;0.24;0.41;0.24;3.35;1.33;0.322580645;26.93548387;37.17741935;482.3387097;142.5806452;12.90322581;15.36290323;9.838709677;12.37903226;3.467741935;7.943548387;2.056451613;2.741935484;1.491935484;0.524193548;2.782258065;3.55;2.137096774;0.766129032;0.362903226;0.040322581;0;0.48;0.322580645;0.080645161;0;0;0;0.201612903;0.120967742;0.120967742;0.080645161;0;0.040322581;0.362903226;3.064516129;2.741935484;7.419354839;4.556451613;48.10483871;0.282258065;5.362903226;35.40322581;1.290322581;0.403225806;1
Andriy Yarmolenko2018;0;0;0.26;0.26;0.46;0.35;2.6;0.95;0;28.7826087;39.04347826;482.7826087;119.3043478;15.47826087;18.95652174;9.826086957;13.04347826;3.043478261;6;2.52173913;1.826086957;1.565217391;0.52173913;2.782608696;4.51;3.217391304;0.260869565;0.347826087;0.260869565;0.260869565;0.52;0.434782609;0;0;0;0;1.130434783;0.52173913;0.347826087;0.52173913;0.260869565;0.260869565;0.956521739;4;2.608695652;6.695652174;5.391304348;51.56521739;0.695652174;6.173913043;42.26086957;1.913043478;1.652173913;1
André Hahn2018;0;0;0.2;0;0.22;0.06;2.72;1.06;0;13.70860927;25.23178808;220.0662252;64.2384106;7.748344371;12.45033113;4.105960265;7.284768212;1.523178808;3.708609272;0.463576159;0.794701987;0.860927152;0.463576159;1.258278146;1.39;0.860927152;0.132450331;0.132450331;0.066225166;0;0.13;0.066225166;0;0.066225166;0;0;1.655629139;0.728476821;0.993377483;0.397350993;0.264900662;0.331125828;2.317880795;6.357615894;5.364238411;13.31125828;8.278145695;40.59602649;1.986754967;4.039735099;20.39735099;0.198675497;2.516556291;1
André Schürrle2018;0;0;0.07;0.44;0.33;0.17;2.55;0.8;0;28.83211679;40.0729927;462.9927007;109.270073;15.25547445;19.27007299;10.65693431;13.50364964;2.335766423;5.182481752;1.313868613;1.897810219;1.751824818;0.583941606;3.138686131;2.84;2.116788321;0.145985401;0.218978102;0.072992701;0;0.44;0.218978102;0.072992701;0.072992701;0;0;1.313868613;0.802919708;0.583941606;0.218978102;0.510948905;0.218978102;1.459854015;4.598540146;2.04379562;5.401459854;7.226277372;53.72262774;0.875912409;5.182481752;40.0729927;1.02189781;0.948905109;1
Ante Rebić2018;0.41025641;0;0.31;0.1;0.26;0.21;2.21;1.18;0.102564103;13.53846154;24.71794872;225.8974359;75.43589744;6.615384615;10.20512821;5.179487179;9.487179487;1.128205128;2.512820513;1.230769231;1.384615385;1.435897436;0.564102564;2.461538462;2.67;1.692307692;0;0.256410256;0.41025641;0.051282051;0.31;0.205128205;0;0;0.051282051;0;1.743589744;1.282051282;0.512820513;0.820512821;0.41025641;0.358974359;1.58974359;7.58974359;2.923076923;10.25641026;10.92307692;41.79487179;0.358974359;5.692307692;30.97435897;1.846153846;2.871794872;1
Arjen Robben2018;0;0;0.3;0.3;0.3;0.29;2.99;1.13;0.239520958;42.75449102;52.21556886;719.1017964;225.6287425;22.75449102;25.74850299;15.32934132;18.44311377;3.832335329;6.167664671;1.916167665;2.814371257;3.71257485;0.598802395;6.28742515;4.95;3.233532934;0.718562874;0.179640719;0.479041916;0;0.78;0.538922156;0.119760479;0;0.05988024;0;0.598802395;0.359281437;0.05988024;0.239520958;0.299401198;0.119760479;0.538922156;3.353293413;1.437125749;5.149700599;3.952095808;63.77245509;0.119760479;5.149700599;49.76047904;2.095808383;0.598802395;3
Arne Maier2018;0.073529412;0;0;0.07;0.03;0.1;0.88;0.07;0;38.89705882;47.05882353;714.9264706;161.6911765;15.73529412;18.16176471;18.30882353;20.66176471;4.264705882;6.323529412;0.588235294;3.014705882;0.441176471;0;3.529411765;1.55;1.102941176;0.147058824;0;0.147058824;0.073529412;0.15;0.073529412;0;0;0;0;2.132352941;1.323529412;1.102941176;1.029411765;0;0.808823529;1.176470588;9.485294118;11.69117647;19.41176471;3.382352941;58.38235294;1.985294118;0.808823529;39.41176471;0.294117647;0.294117647;0
Arturo Vidal2018;0.37037037;0;0.37;0.12;0.29;0.14;2.97;1.3;0;64.56790123;73.20987654;1250.246914;283.2716049;27.5308642;30.55555556;26.35802469;29.07407407;9.691358025;11.66666667;1.481481481;6.049382716;1.296296296;0.061728395;5.925925926;2.78;2.407407407;0;0;0.061728395;0.061728395;0.37;0.308641975;0;0;0;0;3.148148148;2.222222222;1.666666667;1.172839506;0.308641975;1.111111111;2.654320988;9.259259259;8.086419753;12.28395062;4.074074074;86.48148148;3.148148148;3.580246914;62.03703704;0.12345679;2.530864198;3
Bastian Oczipka2018;0.07751938;0;0;0.08;0.03;0.14;0.58;0.12;0.03875969;40.03875969;55.11627907;736.627907;324.496124;16.5503876;19.14728682;18.25581395;23.64341085;4.612403101;10.07751938;2.209302326;2.829457364;1.162790698;0.542635659;5.11627907;3.49;1.744186047;1.472868217;0.07751938;0.03875969;0.03875969;0.19;0.15503876;0.03875969;0;0;0;2.170542636;1.124031008;1.007751938;0.930232558;0.23255814;0.697674419;0.503875969;4.379844961;4.84496124;6.317829457;1.899224806;65.81395349;1.937984496;1.124031008;41.89922481;0.310077519;0.775193798;3
Benjamin Henrichs2018;0.070921986;0.070921986;0;0.07;0.06;0.12;1.42;0.21;0;41.77304965;58.22695035;724.3971631;322.0567376;21.13475177;25.39007092;15.95744681;22.19858156;4.326241135;8.085106383;0.921985816;3.333333333;1.631205674;0.638297872;4.964539007;2.13;1.773049645;0.070921986;0.141843972;0;0;0.21;0.141843972;0;0.070921986;0;0;2.765957447;1.560283688;1.843971631;0.780141844;0.141843972;1.276595745;1.34751773;4.893617021;7.943262411;5.319148936;2.269503546;70.56737589;3.546099291;3.191489362;43.12056738;1.063829787;1.134751773;3
Benjamin Hübner2018;0.350194553;0;0.12;0.08;0.08;0.03;0.86;0.23;0;47.58754864;57.00389105;906.536965;389.6108949;18.13229572;19.64980545;23.9688716;26.77042802;5.175097276;9.494163424;0.350194553;3.579766537;0.155642023;0;5.058365759;0.82;0.622568093;0;0;0.077821012;0.077821012;0.16;0.116731518;0;0;0.038910506;0;2.490272374;1.595330739;1.556420233;0.817120623;0.116731518;0.93385214;1.011673152;5.3307393;8.287937743;4.591439689;0.700389105;68.91050584;6.614785992;1.167315175;42.84046693;0.038910506;1.789883268;0
Benjamin Pavard2018;0.058823529;0;0.03;0;0.03;0.03;0.38;0.06;0;47.58823529;56.82352941;995.7941176;323.0588235;15.52941176;17.32352941;23.73529412;26.44117647;8.147058824;12.44117647;0.147058824;3.647058824;0.205882353;0;2.970588235;0.53;0.5;0;0;0;0;0;0;0;0;0;0;1.529411765;0.852941176;1.176470588;0.235294118;0.117647059;0.529411765;0.5;4.088235294;6.647058824;4.264705882;0.911764706;69.17647059;7.676470588;0.852941176;41.29411765;0.058823529;0.705882353;0
Benjamin Stambouli2018;0.163934426;0;0;0.08;0;0.04;0;0;0;43.97540984;55.90163934;916.2704918;390.1639344;12.99180328;14.91803279;24.26229508;26.76229508;6.393442623;13.1557377;0.368852459;4.385245902;0.368852459;0.040983607;5.12295082;0.94;0.860655738;0;0.040983607;0;0.040983607;0.16;0.163934426;0;0;0;0;3.729508197;2.172131148;1.885245902;1.680327869;0.163934426;1.31147541;1.43442623;4.959016393;6.393442623;7.213114754;0.532786885;66.8442623;4.590163934;0;44.3442623;0;1.844262295;0
Berkay Özcan2018;0.09009009;0;0.09;0.18;0.19;0.12;1.17;0.63;0.09009009;30.36036036;40.99099099;490.2702703;116.2162162;15.94594595;17.83783784;10.54054054;13.24324324;3.153153153;7.387387387;1.441441441;1.531531532;0.900900901;0.09009009;2.792792793;2.6;1.531531532;0.720720721;0;0.09009009;0.09009009;0.36;0.18018018;0.09009009;0;0.09009009;0;1.171171171;0.810810811;0.45045045;0.45045045;0.27027027;0.45045045;0.45045045;6.306306306;5.225225225;10.81081081;7.027027027;50.27027027;0.540540541;2.072072072;37.38738739;0.540540541;0.720720721;1
Bernardo2018;0.133333333;0;0.07;0.07;0.04;0.06;0.8;0.27;0;44.13333333;59.46666667;750.0666667;328;21.4;25.06666667;18.33333333;23.6;3.933333333;9.066666667;0.333333333;3.666666667;0.8;0.333333333;4.8;1.13;0.933333333;0;0.066666667;0;0.066666667;0.2;0.2;0;0;0;0;2.4;1.266666667;1.133333333;0.866666667;0.4;0.666666667;1.066666667;5;6.733333333;6.2;2;74.26666667;4.533333333;0.933333333;40.13333333;0.133333333;1.8;0
Bernd Leno2018;0.03030303;0;0;0;0;0;0;0;0;24.90909091;36.57575758;793.1515152;491.1515152;2.939393939;2.96969697;11.78787879;12;10.15151515;21.51515152;0.090909091;0.606060606;0;0;0.03030303;0.18;0.181818182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090909091;0;0.060606061;0;0;38.60606061;33.54545455;0;23.60606061;0;0;2
Bobby Wood2018;0.111731844;0.055865922;0.11;0;0.32;0.08;2.18;0.5;0;13.57541899;19.32960894;195.6424581;35.53072626;7.597765363;10.5027933;4.581005587;6.480446927;0.61452514;0.893854749;0.893854749;1.061452514;0.391061453;0;1.452513966;1.74;1.284916201;0;0.167597765;0.055865922;0.055865922;0.11;0.055865922;0;0;0.055865922;0;0.558659218;0.279329609;0.111731844;0.223463687;0.223463687;0.055865922;0.335195531;6.815642458;1.508379888;8.715083799;9.106145251;33.91061453;0.670391061;4.69273743;22.62569832;0.391061453;1.508379888;1
Breel Embolo2018;0.392156863;0;0.29;0;0.38;0.01;1.76;1.08;0;15.68627451;20.78431373;258.2352941;60.09803922;8.431372549;10.88235294;5.490196078;6.764705882;1.37254902;1.862745098;0.294117647;1.078431373;0.490196078;0.098039216;1.568627451;2.55;0.784313725;0;0.588235294;0.68627451;0.294117647;0.49;0.098039216;0;0;0.294117647;0.098039216;1.862745098;1.37254902;0.294117647;0.68627451;0.882352941;0.098039216;0.68627451;7.352941176;2.745098039;10.88235294;12.25490196;39.41176471;0.490196078;4.019607843;29.80392157;0.588235294;4.117647059;1
Bruma2018;0;0;0.22;0.11;0.15;0.2;2.29;0.84;0.055865922;37.59776536;47.87709497;539.7765363;161.0055866;23.40782123;27.15083799;12.01117318;14.69273743;1.508379888;3.296089385;1.396648045;3.072625698;1.955307263;0.055865922;4.916201117;3.25;2.569832402;0;0.335195531;0.111731844;0;0.28;0.223463687;0;0.055865922;0;0;0.782122905;0.61452514;0.446927374;0.167597765;0.167597765;0.223463687;0.391061453;5.251396648;3.296089385;6.201117318;5.363128492;63.18435754;0.782122905;5.530726257;53.40782123;2.290502793;0.670391061;1
Caiuby2018;0.252365931;0;0.16;0.22;0.16;0.12;2.43;0.79;0;22.08201893;32.99684543;381.0725552;115.1419558;11.4511041;15.52050473;7.570977918;11.32492114;2.555205047;4.29022082;0.94637224;2.14511041;1.072555205;0.567823344;2.649842271;2.24;1.608832808;0.031545741;0.220820189;0.126182965;0;0.41;0.283911672;0;0;0;0;1.41955836;0.757097792;0.694006309;0.630914826;0.094637224;0.410094637;1.293375394;5.583596215;3.974763407;10.94637224;5.299684543;47.00315457;1.19873817;3.123028391;29.68454259;0.378548896;1.924290221;1
Carlos Salcedo2018;0.279329609;0;0;0;0.01;0;0.28;0.11;0;43.74301676;54.8603352;1044.972067;353.6871508;9.441340782;11.11731844;23.51955307;26.59217877;10.39106145;15.86592179;0.055865922;2.849162011;0.111731844;0;3.631284916;0.39;0.335195531;0.055865922;0;0;0;0.06;0.055865922;0;0;0;0;1.56424581;1.061452514;0.837988827;0.670391061;0.055865922;0.670391061;0.558659218;3.296089385;6.759776536;4.078212291;0.391061453;65.47486034;5.530726257;0.111731844;38.04469274;0;1.508379888;0
Chadrac Akolo2018;0.163934426;0;0.41;0;0.39;0.14;2.61;1.23;0;19.83606557;25.90163934;317.9508197;76.2295082;10;12.13114754;7.950819672;10;1.639344262;3.114754098;1.06557377;1.06557377;1.06557377;0.573770492;2.213114754;2.29;1.803278689;0;0.081967213;0.081967213;0.081967213;0.16;0;0;0;0.081967213;0;1.147540984;0.819672131;0.163934426;0.901639344;0.081967213;0.327868852;0.819672131;7.704918033;3.524590164;15.16393443;9.426229508;39.09836066;0.327868852;3.852459016;29.42622951;0.573770492;1.06557377;1
Charles Aránguiz2018;0.15625;0;0.04;0.12;0.11;0.06;1.33;0.2;0.2734375;58.0078125;67.6171875;1140.3125;335.5859375;22.96875;25.4296875;26.171875;29.1015625;8.3984375;11.875;0.8984375;6.4453125;0.9765625;0.078125;7.6953125;2.31;1.9140625;0.15625;0;0.0390625;0.1171875;0.23;0.15625;0.0390625;0;0;0.0390625;2.734375;1.9921875;1.015625;1.40625;0.3125;1.015625;2.03125;7.96875;8.515625;11.796875;3.2421875;80.8203125;2.3046875;1.640625;56.09375;0.15625;1.640625;3
Christian Clemens2018;0.277777778;0;0.14;0;0.17;0.17;2.37;0.56;0.138888889;21.80555556;32.91666667;395.8333333;149.5833333;10.83333333;13.33333333;8.194444444;11.11111111;2.5;7.916666667;1.388888889;1.25;0.972222222;0.416666667;2.638888889;2.38;1.805555556;0.416666667;0;0;0;0.14;0.138888889;0;0;0;0;1.388888889;0.833333333;0.277777778;0.972222222;0.138888889;0.416666667;1.944444444;5.833333333;7.222222222;10.97222222;5.555555556;44.58333333;1.25;2.777777778;29.86111111;0.555555556;1.805555556;1
Christian Gentner2018;0.111940299;0;0.07;0.07;0.07;0.08;0.9;0.34;0;32.7238806;46.04477612;600.6716418;190.5970149;14.14179104;17.3880597;13.50746269;17.57462687;4.514925373;9.253731343;0.858208955;3.768656716;1.194029851;0.373134328;4.73880597;1.87;1.492537313;0;0.037313433;0.037313433;0.186567164;0.15;0.074626866;0;0;0;0.037313433;3.02238806;2.052238806;1.492537313;1.082089552;0.447761194;1.156716418;1.828358209;7.350746269;6.71641791;13.54477612;4.813432836;58.17164179;2.388059701;1.529850746;34.47761194;0.186567164;2.089552239;0
Christian Günter2018;0.058823529;0;0.03;0.12;0.06;0.12;0.74;0.24;0.058823529;36.20588235;50.82352941;672.6470588;319.4411765;15.32352941;18.38235294;16.05882353;20.44117647;4.5;9.941176471;1.382352941;2.470588235;1.647058824;0.852941176;4.352941176;2.53;1.411764706;0.794117647;0.176470588;0.117647059;0;0.26;0.117647059;0.088235294;0.029411765;0.029411765;0;1.470588235;0.823529412;0.941176471;0.352941176;0.176470588;0.705882353;0.852941176;3.617647059;6.323529412;5;1.705882353;60.55882353;2.705882353;1.029411765;35.11764706;0.647058824;0.705882353;3
Christian Mathenia2018;0.083333333;0;0;0;0;0;0;0;0;15.54166667;28.66666667;543.4166667;375.2083333;1.875;1.916666667;6.458333333;6.541666667;7.166666667;20.125;0.041666667;0.291666667;0;0;0;0.21;0.083333333;0.125;0;0;0;0.04;0;0.041666667;0;0;0;0;0;0;0;0;0;0.125;0;0.25;0;0;30.95833333;25.91666667;0;14.16666667;0;0.041666667;2
Christian Pulisic2018;0.0390625;0;0.16;0.2;0.2;0.23;1.41;0.59;0;26.4453125;35;408.7890625;88.3984375;14.7265625;17.6953125;9.4921875;11.9140625;1.640625;3.0859375;1.09375;1.3671875;1.40625;0.5078125;2.65625;2.54;1.796875;0.0390625;0.3515625;0.1953125;0.0390625;0.2;0.15625;0;0.0390625;0;0;1.40625;0.5859375;0.4296875;0.546875;0.4296875;0.234375;0.9375;4.84375;4.140625;6.796875;5.8984375;50.078125;0.625;5.46875;43.828125;1.8359375;0.625;1
Christoph Kramer2018;0.209205021;0;0.13;0;0.06;0.02;0.5;0.17;0.041841004;54.81171548;62.67782427;970.8368201;245.8577406;24.10041841;26.52719665;24.51882845;26.90376569;5.439330544;7.615062762;0.460251046;5.523012552;0.50209205;0.083682008;4.518828452;1.17;0.836820084;0.125523013;0.083682008;0.041841004;0.083682008;0.04;0.041841004;0;0;0;0;3.430962343;2.635983264;1.589958159;1.380753138;0.460251046;1.422594142;1.79916318;5.89958159;6.736401674;11.9665272;2.426778243;73.72384937;3.054393305;1.046025105;51.42259414;0.083682008;1.882845188;0
Claudio Pizarro2018;0;0;0.16;0.16;0.37;0.11;2.49;0.62;0;27.34375;36.71875;425.15625;94.375;16.875;21.25;7.8125;10.625;2.03125;2.96875;1.25;1.71875;1.5625;0;3.4375;2.48;2.03125;0;0.3125;0;0;0.47;0.46875;0;0;0;0;1.40625;1.25;0.3125;1.09375;0;0.3125;0.15625;3.125;0.78125;5.15625;4.84375;49.6875;1.25;6.5625;35.78125;0.78125;0.9375;1
Corentin Tolisso2018;0.171428571;0;0.34;0.23;0.25;0.13;2.34;0.97;0;64.68571429;72;1222.571429;302.2285714;28.51428571;30.8;26.17142857;28.68571429;9.6;11.02857143;0.971428571;9.657142857;1.257142857;0.057142857;7.428571429;2.94;2.457142857;0;0.114285714;0.114285714;0;0.41;0.4;0;0;0;0;1.6;0.857142857;0.571428571;0.628571429;0.4;0.571428571;1.085714286;5.371428571;3.2;9.2;3.085714286;82.51428571;1.257142857;2.742857143;67.37142857;0.228571429;1.2;3
Dan-Axel Zagadou2018;0;0.136986301;0.14;0;0.09;0.02;1.1;0.27;0;56.02739726;68.90410959;1050.821918;296.9863014;21.64383562;25.75342466;28.21917808;33.97260274;5.890410959;8.219178082;0.273972603;4.383561644;0.684931507;0.547945205;4.657534247;0.96;0.821917808;0.136986301;0;0;0;0.14;0.136986301;0;0;0;0;1.232876712;0.684931507;0.684931507;0.410958904;0.136986301;0.684931507;0.273972603;4.931506849;5.753424658;5.479452055;2.602739726;79.45205479;3.01369863;1.780821918;47.39726027;0;1.780821918;0
